,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
33,A midsummernight dream,"ordinary drink, ordinary drink","Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,bitter,vodka,2 oz,kirschwasser,1 oz,strawberry liqueur,1 tsp,strawberries,5,schweppes russchian,,,,,,,,,,,,,,,
34,A Night In Old Mandalay,"ordinary drink, other,unknown","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,sour,light rum,1 oz,añejo rum,1 oz,orange juice,1 oz,lemon juice,1/2 oz,ginger ale,3 oz,lemon peel,1 twist of,,,,,,,,,,,,
35,A Piece of Ass,"other,unknown, shot",Put ice in glass. Pour in shots. Fill with Sour Mix.,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,,amaretto,1 shot,southern comfort,1 shot,ice,cubes,sour mix,,,,,,,,,,,,,,,,,
36,A Regal Air,,Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,,,domingo perez marin 'la guita' manzanilla sherry,3 oz,king's ginger liqueur,.5 oz,chartreuse,.25 oz,juice of an orange,.25 oz,,,,,,,,,,,,,,,,
37,A Southern Jackass,,"Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.. . *Cinnamon Candied Ginger Syrup:. Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup.",,,prichard's lincoln county lightning,1.5 oz,king's ginger liqueur,.5 oz,cinnamon-candied ginger syrup*,.5 oz,angostura bitters,3 dash,club soda,top,,,,,,,,,,,,,,
38,A Splash of Nash,"shot, cocktail",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,sour,cranberry juice,2 oz,soda water,2 oz,midori melon liqueur,0.5 oz,creme de banane,0.5 oz,,,,,,,,,,,,,,,,
39,A Tall Tell,,Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,,,c. drouin calvados selection,9 oz,marrakesh mint tea,6 oz,prosecco,6 oz,king's ginger liqueur,3 oz,lemon juice,2 oz,velvet falernum,1.5 oz,dale degroff's pimento aromatic bitters,.5 oz,,,,,,,,,,
40,A True Amaretto Sour,"cocktail, ordinary drink","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,sweet,amaretto,1 jigger,lemon,juice of 1/2,ice,,maraschino cherry,,,,,,,,,,,,,,,,,
41,A. J.,"ordinary drink, cocktail","Shake ingredients with ice, strain into a cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,cream,applejack,1 1/2 oz,grapefruit juice,1 oz,,,,,,,,,,,,,,,,,,,,
42,A.D.M. (After Dinner Mint),"cocktail, cocktail",shake vigorously,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,sweet,white creme de menthe,1/2 oz,southern comfort,3/4 oz,vodka,1/2 oz,hot chocolate,fill with,,,,,,,,,,,,,,,,
